year,trend
2004,29.8333333333333
2005,32.4166666666667
2006,41
2007,71.0833333333333
2008,51.3333333333333
2009,47.1666666666667
2010,35.9166666666667
2011,26.8333333333333
2012,22.6666666666667
2013,19.3333333333333
2014,21.0833333333333
2015,22.4166666666667
2016,23
2017,24.0833333333333
2018,20.5
2019,29.6666666666667
2020,21.3333333333333
2021,20.2
