state,breachtot,severe,moderate,basic,avgbreachtot,avgsevere,avgmoderate,avgbasic,pct_severe,pct_moderate,pct_base,pct_total
Alabama,28,16,3,9,1.86666666666667,1.06666666666667,0.2,0.6,1.63098878695209,0.305810397553517,0.91743119266055,2.85423037716616
Alaska,3,2,0,1,1.5,1,0,0.5,0.203873598369011,0,0.101936799184506,0.305810397553517
Arizona,17,13,0,4,1.41666666666667,1.08333333333333,0,0.333333333333333,1.32517838939857,0,0.407747196738023,1.7329255861366
Arkansas,4,3,0,1,0.666666666666667,0.5,0,0.166666666666667,0.305810397553517,0,0.101936799184506,0.407747196738023
California,95,65,10,20,1.9,1.3,0.2,0.4,6.62589194699287,1.01936799184506,2.03873598369011,9.68399592252803
Colorado,22,18,2,2,2.44444444444444,2,0.222222222222222,0.222222222222222,1.8348623853211,0.203873598369011,0.203873598369011,2.24260958205912
Connecticut,8,4,1,3,2,1,0.25,0.75,0.407747196738023,0.101936799184506,0.305810397553517,0.815494393476045
Delaware,2,2,0,0,0.666666666666667,0.666666666666667,0,0,0.203873598369011,0,0,0.203873598369011
District of Columbia,2,2,0,0,2,2,0,0,0.203873598369011,0,0,0.203873598369011
Florida,96,60,14,22,2.23255813953488,1.3953488372093,0.325581395348837,0.511627906976744,6.11620795107034,1.42711518858308,2.24260958205912,9.78593272171254
Georgia,38,19,6,13,1.9,0.95,0.3,0.65,1.93679918450561,0.611620795107034,1.32517838939857,3.87359836901121
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,1,1,0,0,0.5,0.5,0,0,0.101936799184506,0,0,0.101936799184506
Illinois,36,23,5,8,1.89473684210526,1.21052631578947,0.263157894736842,0.421052631578947,2.34454638124363,0.509683995922528,0.815494393476045,3.6697247706422
Indiana,32,19,7,6,2,1.1875,0.4375,0.375,1.93679918450561,0.713557594291539,0.611620795107034,3.26197757390418
Iowa,14,11,1,2,1.75,1.375,0.125,0.25,1.12130479102956,0.101936799184506,0.203873598369011,1.42711518858308
Kansas,4,4,0,0,0.8,0.8,0,0,0.407747196738023,0,0,0.407747196738023
Kentucky,17,11,3,3,1.88888888888889,1.22222222222222,0.333333333333333,0.333333333333333,1.12130479102956,0.305810397553517,0.305810397553517,1.7329255861366
Louisiana,3,2,1,0,0.75,0.5,0.25,0,0.203873598369011,0.101936799184506,0,0.305810397553517
