age,breachtot,freq
22,4,0
23,4,0
24,4,0.001782531
25,4,0
26,4,0.003565062
27,4,0.001782531
28,4,0.003565062
29,4,0.001782531
30,4,0
31,4,0.001782531
32,4,0.003565062
33,4,0
34,4,0.005347594
35,4,0.007130125
36,4,0
37,4,0.003565062
38,4,0.001782531
39,4,0.001782531
40,4,0.001782531
41,4,0.003565062
42,4,0
43,4,0.001782531
44,4,0.001782531
45,4,0
46,4,0
47,4,0
48,4,0.001782531
49,4,0.001782531
50,4,0.001782531
51,4,0
52,4,0
53,4,0.001782531
54,4,0.003565062
55,4,0
56,4,0.005347594
57,4,0.001782531
58,4,0
59,4,0.001782531
60,4,0.001782531
61,4,0.001782531
62,4,0
63,4,0
64,4,0
65,4,0
66,4,0.001782531
67,4,0
68,4,0
69,4,0.001782531
70,4,0
71,4,0.001782531
72,4,0.001782531
73,4,0.001782531
74,4,0
75,4,0
76,4,0
77,4,0
79,4,0
80,4,0
81,4,0
83,4,0
87,4,0
90,4,0
99,4,0
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,0
24,5,0
25,5,0
26,5,0.001782531
27,5,0.001782531
28,5,0
29,5,0
30,5,0
31,5,0.001782531
32,5,0.001782531
33,5,0
34,5,0.003565062
35,5,0
36,5,0
37,5,0
38,5,0.001782531
39,5,0
40,5,0
41,5,0
42,5,0
43,5,0
44,5,0.001782531
45,5,0.001782531
46,5,0.001782531
47,5,0
48,5,0
49,5,0
50,5,0.001782531
51,5,0
52,5,0
53,5,0
54,5,0
55,5,0.001782531
56,5,0
57,5,0.001782531
58,5,0.001782531
59,5,0
60,5,0
61,5,0.003565062
62,5,0
63,5,0
64,5,0
65,5,0
66,5,0.001782531
67,5,0
68,5,0
69,5,0
70,5,0.001782531
71,5,0
72,5,0
73,5,0
74,5,0
75,5,0
76,5,0
77,5,0
79,5,0
80,5,0
81,5,0
83,5,0
87,5,0
90,5,0
99,5,0
18,6,0
19,6,0
20,6,0
21,6,0
22,6,0
23,6,0
24,6,0
25,6,0
26,6,0
27,6,0.001782531
28,6,0
29,6,0
30,6,0
31,6,0
32,6,0.001782531
33,6,0
34,6,0
35,6,0
36,6,0
37,6,0.001782531
38,6,0
39,6,0.001782531
40,6,0
41,6,0
42,6,0.001782531
43,6,0
44,6,0
45,6,0
46,6,0
47,6,0
48,6,0
49,6,0
50,6,0
51,6,0
52,6,0
53,6,0
54,6,0
55,6,0.001782531
56,6,0
57,6,0.001782531
58,6,0
59,6,0
60,6,0
61,6,0
62,6,0
63,6,0
64,6,0
65,6,0
66,6,0
67,6,0
68,6,0
69,6,0
70,6,0
71,6,0
72,6,0
73,6,0
74,6,0
75,6,0
76,6,0
77,6,0
79,6,0
80,6,0
81,6,0
83,6,0
87,6,0
90,6,0
99,6,0
18,7,0
19,7,0
20,7,0
21,7,0
22,7,0
23,7,0
24,7,0
25,7,0
26,7,0
27,7,0
28,7,0
29,7,0
30,7,0
31,7,0
32,7,0
33,7,0
34,7,0
35,7,0
36,7,0.001782531
37,7,0
38,7,0
39,7,0
40,7,0
41,7,0
42,7,0
43,7,0
44,7,0
45,7,0
46,7,0
47,7,0.001782531
48,7,0
49,7,0
50,7,0
51,7,0
52,7,0
53,7,0
54,7,0
55,7,0
56,7,0
57,7,0
58,7,0
59,7,0
60,7,0
61,7,0
62,7,0
63,7,0
64,7,0
65,7,0
66,7,0
67,7,0
68,7,0
69,7,0
70,7,0
71,7,0
72,7,0
73,7,0
74,7,0
75,7,0
76,7,0
77,7,0
79,7,0
80,7,0
81,7,0
83,7,0
87,7,0
90,7,0
99,7,0
