educ,breachtot,severe,moderate,basic,avgbreachtot,avgsevere,avgmoderate,avgbasic
College,406,277,45,84,1.87096774193548,1.27649769585253,0.207373271889401,0.387096774193548
HS grad,133,75,23,35,1.46153846153846,0.824175824175824,0.252747252747253,0.384615384615385
no HS degree,23,12,3,8,0.92,0.48,0.12,0.32
Postgraduate,256,179,33,44,1.95419847328244,1.36641221374046,0.251908396946565,0.33587786259542
Some college,163,107,19,37,1.69791666666667,1.11458333333333,0.197916666666667,0.385416666666667
